id,name,split,lr,hr,hr_2_5m_path,hr_1m_path,hr_available_resolutions_m,hr_canonical_resolution_m,lon,lat,LC_detail_id,LC_detail_text,LC_superclass_id,LC_superclass_text,bands,native_band_resolution_m,stored_dtype,reflectance_scale,lr_source,lr_collection,lr_grid,lr_native_resolution,lr_width,lr_height,lr_pixel_size_m,lr_nodata,hr_source,hr_width,hr_height,hr_pixel_size_m,hr_nodata,crs,lr_transform,hr_transform,centroid_lon,centroid_lat,land_cover,land_cover_detail_id,land_cover_detail,land_cover_superclass_id,land_cover_superclass,neon_acquisition_id,neon_asset_id,neon_date,neon_start_datetime,neon_end_datetime,s2_asset_id,s2_date,s2_start_datetime,temporal_difference_days,cloud_score_plus_cdf,neon_nodata_percent,s2_nodata_percent,hr_2_5m_width,hr_2_5m_height,hr_2_5m_pixel_size_m,hr_2_5m_nodata,hr_2_5m_transform,hr_2_5m_status,hr_1m_width,hr_1m_height,hr_1m_pixel_size_m,hr_1m_nodata,hr_1m_transform,hr_1m_status
2018_MLBS_3__0_2,2018_MLBS_3__0_2.tif,validation,s2_l2a_10m/2018_MLBS_3__0_2.tif,neon_2.5m_linearized/2018_MLBS_3__0_2.tif,neon_2.5m_linearized/2018_MLBS_3__0_2.tif,neon_1m_linearized/2018_MLBS_3__0_2.tif,"[2.5, 1.0]",2.5,-80.54325020048908,37.448448298909405,41,Deciduous,40,Forest,"[""B1"", ""B2"", ""B3"", ""B4"", ""B5"", ""B6"", ""B7"", ""B8"", ""B8A"", ""B9"", ""B11"", ""B12""]","[60, 10, 10, 10, 20, 20, 20, 10, 20, 60, 20, 20]",uint16,10000,Sentinel-2 Level-2A surface reflectance,COPERNICUS/S2_SR_HARMONIZED,12-band aligned stack; all bands sampled on the 10 m tile grid,False,256,256,10.0,65535,NEON AVIRIS-NG convolved with Sentinel-2 spectral response functions and radiometrically corrected,1024,1024,2.5,0,EPSG:32617,"[10.0, 0.0, 539120.0, 0.0, -10.0, 4146000.0]","[2.5, 0.0, 539120.0, 0.0, -2.5, 4146000.0]",-80.54325020048908,37.448448298909405,Tree cover,41,Deciduous,40,Forest,2018_MLBS_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,2018-06-15 14:23:56,2018-06-15 19:55:31,COPERNICUS/S2_SR_HARMONIZED/20180708T155819_20180708T161248_T17SNB,2018-07-08,2018-07-08 16:13:00.287,23,0.9058823529411764,48.93686652279778,0.0,1024,1024,2.5,0,"[2.5, 0.0, 539120.0, 0.0, -2.5, 4146000.0]",canonical paper benchmark target,2560,2560,1.0,0,"[1.0, 0.0, 539120.0, 0.0, -1.0, 4146000.0]",supplementary workflow by-product; not the paper benchmark target
2018_MLBS_3__1_1,2018_MLBS_3__1_1.tif,validation,s2_l2a_10m/2018_MLBS_3__1_1.tif,neon_2.5m_linearized/2018_MLBS_3__1_1.tif,neon_2.5m_linearized/2018_MLBS_3__1_1.tif,neon_1m_linearized/2018_MLBS_3__1_1.tif,"[2.5, 1.0]",2.5,-80.57232332530769,37.42548201629058,41,Deciduous,40,Forest,"[""B1"", ""B2"", ""B3"", ""B4"", ""B5"", ""B6"", ""B7"", ""B8"", ""B8A"", ""B9"", ""B11"", ""B12""]","[60, 10, 10, 10, 20, 20, 20, 10, 20, 60, 20, 20]",uint16,10000,Sentinel-2 Level-2A surface reflectance,COPERNICUS/S2_SR_HARMONIZED,12-band aligned stack; all bands sampled on the 10 m tile grid,False,256,256,10.0,65535,NEON AVIRIS-NG convolved with Sentinel-2 spectral response functions and radiometrically corrected,1024,1024,2.5,0,EPSG:32617,"[10.0, 0.0, 536560.0, 0.0, -10.0, 4143440.0]","[2.5, 0.0, 536560.0, 0.0, -2.5, 4143440.0]",-80.57232332530769,37.42548201629058,Tree cover,41,Deciduous,40,Forest,2018_MLBS_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,2018-06-15 14:23:56,2018-06-15 19:55:31,COPERNICUS/S2_SR_HARMONIZED/20180708T155819_20180708T161248_T17SNB,2018-07-08,2018-07-08 16:13:00.287,23,0.9019607843137256,0.0,0.0,1024,1024,2.5,0,"[2.5, 0.0, 536560.0, 0.0, -2.5, 4143440.0]",canonical paper benchmark target,2560,2560,1.0,0,"[1.0, 0.0, 536560.0, 0.0, -1.0, 4143440.0]",supplementary workflow by-product; not the paper benchmark target
2018_MLBS_3__1_2,2018_MLBS_3__1_2.tif,validation,s2_l2a_10m/2018_MLBS_3__1_2.tif,neon_2.5m_linearized/2018_MLBS_3__1_2.tif,neon_2.5m_linearized/2018_MLBS_3__1_2.tif,neon_1m_linearized/2018_MLBS_3__1_2.tif,"[2.5, 1.0]",2.5,-80.54339041056222,37.4253738000532,41,Deciduous,40,Forest,"[""B1"", ""B2"", ""B3"", ""B4"", ""B5"", ""B6"", ""B7"", ""B8"", ""B8A"", ""B9"", ""B11"", ""B12""]","[60, 10, 10, 10, 20, 20, 20, 10, 20, 60, 20, 20]",uint16,10000,Sentinel-2 Level-2A surface reflectance,COPERNICUS/S2_SR_HARMONIZED,12-band aligned stack; all bands sampled on the 10 m tile grid,False,256,256,10.0,65535,NEON AVIRIS-NG convolved with Sentinel-2 spectral response functions and radiometrically corrected,1024,1024,2.5,0,EPSG:32617,"[10.0, 0.0, 539120.0, 0.0, -10.0, 4143440.0]","[2.5, 0.0, 539120.0, 0.0, -2.5, 4143440.0]",-80.54339041056222,37.4253738000532,Tree cover,41,Deciduous,40,Forest,2018_MLBS_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,2018-06-15 14:23:56,2018-06-15 19:55:31,COPERNICUS/S2_SR_HARMONIZED/20180708T155819_20180708T161248_T17SNB,2018-07-08,2018-07-08 16:13:00.287,23,0.9058823529411764,0.0,0.0,1024,1024,2.5,0,"[2.5, 0.0, 539120.0, 0.0, -2.5, 4143440.0]",canonical paper benchmark target,2560,2560,1.0,0,"[1.0, 0.0, 539120.0, 0.0, -1.0, 4143440.0]",supplementary workflow by-product; not the paper benchmark target
2018_MLBS_3__1_3,2018_MLBS_3__1_3.tif,validation,s2_l2a_10m/2018_MLBS_3__1_3.tif,neon_2.5m_linearized/2018_MLBS_3__1_3.tif,neon_2.5m_linearized/2018_MLBS_3__1_3.tif,neon_1m_linearized/2018_MLBS_3__1_3.tif,"[2.5, 1.0]",2.5,-80.51445765556987,37.42525850283796,41,Deciduous,40,Forest,"[""B1"", ""B2"", ""B3"", ""B4"", ""B5"", ""B6"", ""B7"", ""B8"", ""B8A"", ""B9"", ""B11"", ""B12""]","[60, 10, 10, 10, 20, 20, 20, 10, 20, 60, 20, 20]",uint16,10000,Sentinel-2 Level-2A surface reflectance,COPERNICUS/S2_SR_HARMONIZED,12-band aligned stack; all bands sampled on the 10 m tile grid,False,256,256,10.0,65535,NEON AVIRIS-NG convolved with Sentinel-2 spectral response functions and radiometrically corrected,1024,1024,2.5,0,EPSG:32617,"[10.0, 0.0, 541680.0, 0.0, -10.0, 4143440.0]","[2.5, 0.0, 541680.0, 0.0, -2.5, 4143440.0]",-80.51445765556987,37.42525850283796,Tree cover,41,Deciduous,40,Forest,2018_MLBS_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,2018-06-15 14:23:56,2018-06-15 19:55:31,COPERNICUS/S2_SR_HARMONIZED/20180708T155819_20180708T161248_T17SNB,2018-07-08,2018-07-08 16:13:00.287,23,0.9019607843137256,0.0891532896744135,0.0,1024,1024,2.5,0,"[2.5, 0.0, 541680.0, 0.0, -2.5, 4143440.0]",canonical paper benchmark target,2560,2560,1.0,0,"[1.0, 0.0, 541680.0, 0.0, -1.0, 4143440.0]",supplementary workflow by-product; not the paper benchmark target
2018_MLBS_3__1_4,2018_MLBS_3__1_4.tif,validation,s2_l2a_10m/2018_MLBS_3__1_4.tif,neon_2.5m_linearized/2018_MLBS_3__1_4.tif,neon_2.5m_linearized/2018_MLBS_3__1_4.tif,neon_1m_linearized/2018_MLBS_3__1_4.tif,"[2.5, 1.0]",2.5,-80.48552507045157,37.42513612476981,41,Deciduous,40,Forest,"[""B1"", ""B2"", ""B3"", ""B4"", ""B5"", ""B6"", ""B7"", ""B8"", ""B8A"", ""B9"", ""B11"", ""B12""]","[60, 10, 10, 10, 20, 20, 20, 10, 20, 60, 20, 20]",uint16,10000,Sentinel-2 Level-2A surface reflectance,COPERNICUS/S2_SR_HARMONIZED,12-band aligned stack; all bands sampled on the 10 m tile grid,False,256,256,10.0,65535,NEON AVIRIS-NG convolved with Sentinel-2 spectral response functions and radiometrically corrected,1024,1024,2.5,0,EPSG:32617,"[10.0, 0.0, 544240.0, 0.0, -10.0, 4143440.0]","[2.5, 0.0, 544240.0, 0.0, -2.5, 4143440.0]",-80.48552507045157,37.42513612476981,Tree cover,41,Deciduous,40,Forest,2018_MLBS_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,2018-06-15 14:23:56,2018-06-15 19:55:31,COPERNICUS/S2_SR_HARMONIZED/20180708T155819_20180708T161248_T17SNB,2018-07-08,2018-07-08 16:13:00.287,23,0.9019607843137256,0.0199019941798168,0.0,1024,1024,2.5,0,"[2.5, 0.0, 544240.0, 0.0, -2.5, 4143440.0]",canonical paper benchmark target,2560,2560,1.0,0,"[1.0, 0.0, 544240.0, 0.0, -1.0, 4143440.0]",supplementary workflow by-product; not the paper benchmark target
2018_MLBS_3__2_1,2018_MLBS_3__2_1.tif,validation,s2_l2a_10m/2018_MLBS_3__2_1.tif,neon_2.5m_linearized/2018_MLBS_3__2_1.tif,neon_2.5m_linearized/2018_MLBS_3__2_1.tif,neon_1m_linearized/2018_MLBS_3__2_1.tif,"[2.5, 1.0]",2.5,-80.57245450206699,37.40240733698209,41,Deciduous,40,Forest,"[""B1"", ""B2"", ""B3"", ""B4"", ""B5"", ""B6"", ""B7"", ""B8"", ""B8A"", ""B9"", ""B11"", ""B12""]","[60, 10, 10, 10, 20, 20, 20, 10, 20, 60, 20, 20]",uint16,10000,Sentinel-2 Level-2A surface reflectance,COPERNICUS/S2_SR_HARMONIZED,12-band aligned stack; all bands sampled on the 10 m tile grid,False,256,256,10.0,65535,NEON AVIRIS-NG convolved with Sentinel-2 spectral response functions and radiometrically corrected,1024,1024,2.5,0,EPSG:32617,"[10.0, 0.0, 536560.0, 0.0, -10.0, 4140880.0]","[2.5, 0.0, 536560.0, 0.0, -2.5, 4140880.0]",-80.57245450206699,37.40240733698209,Tree cover,41,Deciduous,40,Forest,2018_MLBS_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,2018-06-15 14:23:56,2018-06-15 19:55:31,COPERNICUS/S2_SR_HARMONIZED/20180708T155819_20180708T161248_T17SNB,2018-07-08,2018-07-08 16:13:00.287,23,0.9019607843137256,0.044224431288015,0.0,1024,1024,2.5,0,"[2.5, 0.0, 536560.0, 0.0, -2.5, 4140880.0]",canonical paper benchmark target,2560,2560,1.0,0,"[1.0, 0.0, 536560.0, 0.0, -1.0, 4140880.0]",supplementary workflow by-product; not the paper benchmark target
2018_MLBS_3__2_2,2018_MLBS_3__2_2.tif,validation,s2_l2a_10m/2018_MLBS_3__2_2.tif,neon_2.5m_linearized/2018_MLBS_3__2_2.tif,neon_2.5m_linearized/2018_MLBS_3__2_2.tif,neon_1m_linearized/2018_MLBS_3__2_2.tif,"[2.5, 1.0]",2.5,-80.5435304608822,37.40229921045436,41,Deciduous,40,Forest,"[""B1"", ""B2"", ""B3"", ""B4"", ""B5"", ""B6"", ""B7"", ""B8"", ""B8A"", ""B9"", ""B11"", ""B12""]","[60, 10, 10, 10, 20, 20, 20, 10, 20, 60, 20, 20]",uint16,10000,Sentinel-2 Level-2A surface reflectance,COPERNICUS/S2_SR_HARMONIZED,12-band aligned stack; all bands sampled on the 10 m tile grid,False,256,256,10.0,65535,NEON AVIRIS-NG convolved with Sentinel-2 spectral response functions and radiometrically corrected,1024,1024,2.5,0,EPSG:32617,"[10.0, 0.0, 539120.0, 0.0, -10.0, 4140880.0]","[2.5, 0.0, 539120.0, 0.0, -2.5, 4140880.0]",-80.5435304608822,37.40229921045436,Tree cover,41,Deciduous,40,Forest,2018_MLBS_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,2018-06-15 14:23:56,2018-06-15 19:55:31,COPERNICUS/S2_SR_HARMONIZED/20180708T155819_20180708T161248_T17SNB,2018-07-08,2018-07-08 16:13:00.287,23,0.9019607843137256,0.0,0.0,1024,1024,2.5,0,"[2.5, 0.0, 539120.0, 0.0, -2.5, 4140880.0]",canonical paper benchmark target,2560,2560,1.0,0,"[1.0, 0.0, 539120.0, 0.0, -1.0, 4140880.0]",supplementary workflow by-product; not the paper benchmark target
2018_MLBS_3__2_3,2018_MLBS_3__2_3.tif,validation,s2_l2a_10m/2018_MLBS_3__2_3.tif,neon_2.5m_linearized/2018_MLBS_3__2_3.tif,neon_2.5m_linearized/2018_MLBS_3__2_3.tif,neon_1m_linearized/2018_MLBS_3__2_3.tif,"[2.5, 1.0]",2.5,-80.51460657925877,37.40218400881854,41,Deciduous,40,Forest,"[""B1"", ""B2"", ""B3"", ""B4"", ""B5"", ""B6"", ""B7"", ""B8"", ""B8A"", ""B9"", ""B11"", ""B12""]","[60, 10, 10, 10, 20, 20, 20, 10, 20, 60, 20, 20]",uint16,10000,Sentinel-2 Level-2A surface reflectance,COPERNICUS/S2_SR_HARMONIZED,12-band aligned stack; all bands sampled on the 10 m tile grid,False,256,256,10.0,65535,NEON AVIRIS-NG convolved with Sentinel-2 spectral response functions and radiometrically corrected,1024,1024,2.5,0,EPSG:32617,"[10.0, 0.0, 541680.0, 0.0, -10.0, 4140880.0]","[2.5, 0.0, 541680.0, 0.0, -2.5, 4140880.0]",-80.51460657925877,37.40218400881854,Tree cover,41,Deciduous,40,Forest,2018_MLBS_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,2018-06-15 14:23:56,2018-06-15 19:55:31,COPERNICUS/S2_SR_HARMONIZED/20180708T155819_20180708T161248_T17SNB,2018-07-08,2018-07-08 16:13:00.287,23,0.9058823529411764,0.0013994402239104,0.0,1024,1024,2.5,0,"[2.5, 0.0, 541680.0, 0.0, -2.5, 4140880.0]",canonical paper benchmark target,2560,2560,1.0,0,"[1.0, 0.0, 541680.0, 0.0, -1.0, 4140880.0]",supplementary workflow by-product; not the paper benchmark target
2018_MLBS_3__2_4,2018_MLBS_3__2_4.tif,validation,s2_l2a_10m/2018_MLBS_3__2_4.tif,neon_2.5m_linearized/2018_MLBS_3__2_4.tif,neon_2.5m_linearized/2018_MLBS_3__2_4.tif,neon_1m_linearized/2018_MLBS_3__2_4.tif,"[2.5, 1.0]",2.5,-80.48568286730544,37.402061732199385,41,Deciduous,40,Forest,"[""B1"", ""B2"", ""B3"", ""B4"", ""B5"", ""B6"", ""B7"", ""B8"", ""B8A"", ""B9"", ""B11"", ""B12""]","[60, 10, 10, 10, 20, 20, 20, 10, 20, 60, 20, 20]",uint16,10000,Sentinel-2 Level-2A surface reflectance,COPERNICUS/S2_SR_HARMONIZED,12-band aligned stack; all bands sampled on the 10 m tile grid,False,256,256,10.0,65535,NEON AVIRIS-NG convolved with Sentinel-2 spectral response functions and radiometrically corrected,1024,1024,2.5,0,EPSG:32617,"[10.0, 0.0, 544240.0, 0.0, -10.0, 4140880.0]","[2.5, 0.0, 544240.0, 0.0, -2.5, 4140880.0]",-80.48568286730544,37.402061732199385,Tree cover,41,Deciduous,40,Forest,2018_MLBS_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,2018-06-15 14:23:56,2018-06-15 19:55:31,COPERNICUS/S2_SR_HARMONIZED/20180708T155819_20180708T161248_T17SNB,2018-07-08,2018-07-08 16:13:00.287,23,0.9058823529411764,0.0324270291883246,0.0,1024,1024,2.5,0,"[2.5, 0.0, 544240.0, 0.0, -2.5, 4140880.0]",canonical paper benchmark target,2560,2560,1.0,0,"[1.0, 0.0, 544240.0, 0.0, -1.0, 4140880.0]",supplementary workflow by-product; not the paper benchmark target
2018_MLBS_3__3_1,2018_MLBS_3__3_1.tif,validation,s2_l2a_10m/2018_MLBS_3__3_1.tif,neon_2.5m_linearized/2018_MLBS_3__3_1.tif,neon_2.5m_linearized/2018_MLBS_3__3_1.tif,neon_1m_linearized/2018_MLBS_3__3_1.tif,"[2.5, 1.0]",2.5,-80.57258552937404,37.37933256700499,43,Mixed,40,Forest,"[""B1"", ""B2"", ""B3"", ""B4"", ""B5"", ""B6"", ""B7"", ""B8"", ""B8A"", ""B9"", ""B11"", ""B12""]","[60, 10, 10, 10, 20, 20, 20, 10, 20, 60, 20, 20]",uint16,10000,Sentinel-2 Level-2A surface reflectance,COPERNICUS/S2_SR_HARMONIZED,12-band aligned stack; all bands sampled on the 10 m tile grid,False,256,256,10.0,65535,NEON AVIRIS-NG convolved with Sentinel-2 spectral response functions and radiometrically corrected,1024,1024,2.5,0,EPSG:32617,"[10.0, 0.0, 536560.0, 0.0, -10.0, 4138320.0]","[2.5, 0.0, 536560.0, 0.0, -2.5, 4138320.0]",-80.57258552937404,37.37933256700499,Tree cover,43,Mixed,40,Forest,2018_MLBS_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,2018-06-15 14:23:56,2018-06-15 19:55:31,COPERNICUS/S2_SR_HARMONIZED/20180708T155819_20180708T161248_T17SNB,2018-07-08,2018-07-08 16:13:00.287,23,0.9019607843137256,0.00118,0.0,1024,1024,2.5,0,"[2.5, 0.0, 536560.0, 0.0, -2.5, 4138320.0]",canonical paper benchmark target,2560,2560,1.0,0,"[1.0, 0.0, 536560.0, 0.0, -1.0, 4138320.0]",supplementary workflow by-product; not the paper benchmark target
